id,product_id,color_id
1,24,1
2,24,2
3,24,3
4,24,4
5,24,5
6,24,6
7,24,7
8,24,8
9,24,9
10,24,10
11,24,11
12,24,12
13,24,13
14,24,14
15,24,15
16,24,16
17,24,17
18,24,18
19,24,19
20,24,20
21,24,21
22,24,22
23,24,23
24,24,24
25,24,25
26,24,26
27,24,27
28,24,28
29,26,1
30,26,2
31,26,3
32,26,4
33,26,5
34,26,6
35,26,7
36,26,8
37,26,9
38,26,10
39,26,11
40,26,12
41,26,13
42,26,14
43,26,15
44,26,16
45,26,17
46,26,18
47,26,19
48,26,20
49,26,21
50,26,22
51,26,23
52,26,24
53,26,25
54,26,26
55,26,27
56,26,28
57,27,1
58,27,2
59,27,3
60,27,4
61,27,5
62,27,6
63,27,7
64,27,8
65,27,9
66,27,10
67,27,11
68,27,12
69,27,13
70,27,14
71,27,15
72,27,16
73,27,17
74,27,18
75,27,19
76,27,20
77,27,21
78,27,22
79,27,23
80,27,24
81,27,25
82,27,26
83,27,27
84,27,28
85,28,1
86,28,2
87,28,3
88,28,4
89,28,5
90,28,6
91,28,7
92,28,8
93,28,9
94,28,10
95,28,11
96,28,12
97,28,13
98,28,14
99,28,15
100,28,16
101,28,17
102,28,18
103,28,19
104,28,20
105,28,21
106,28,22
107,28,23
108,28,24
109,28,25
110,28,26
111,28,27
112,28,28
113,29,1
114,29,2
115,29,3
116,29,4
117,29,5
118,29,6
119,29,7
120,29,8
121,29,9
122,29,10
123,29,11
124,29,12
125,29,13
126,29,14
127,29,15
128,29,16
129,29,17
130,29,18
131,29,19
132,29,20
133,29,21
134,29,22
135,29,23
136,29,24
137,29,25
138,29,26
139,29,27
140,29,28
141,30,1
142,30,2
143,30,3
144,30,4
145,30,5
146,30,6
147,30,7
148,30,8
149,30,9
150,30,10
151,30,11
152,30,12
153,30,13
154,30,14
155,30,15
156,30,16
157,30,17
158,30,18
159,30,19
160,30,20
161,30,21
162,30,22
163,30,23
164,30,24
165,30,25
166,30,26
167,30,27
168,30,28
169,31,1
170,31,2
171,31,3
172,31,4
173,31,5
174,31,6
175,31,7
176,31,8
177,31,9
178,31,10
179,31,11
180,31,12
181,31,13
182,31,14
183,31,15
184,31,16
185,31,17
186,31,18
187,31,19
188,31,20
189,31,21
190,31,22
191,31,23
192,31,24
193,31,25
194,31,26
195,31,27
196,31,28
197,38,1
198,38,2
199,38,3
200,38,4
201,38,5
202,38,6
203,38,7
204,38,8
205,38,9
206,38,10
207,38,11
208,38,12
209,38,13
210,38,14
211,38,15
212,38,16
213,38,17
214,38,18
215,38,19
216,38,20
217,38,21
218,38,22
219,38,23
220,38,24
221,38,25
222,38,26
223,38,27
224,38,28
225,42,1
226,42,2
227,42,3
228,42,4
229,42,5
230,42,6
231,42,7
232,42,8
233,42,9
234,42,10
235,42,11
236,42,12
237,42,13
238,42,14
239,42,15
240,42,16
241,42,17
242,42,18
243,42,19
244,42,20
245,42,21
246,42,22
247,42,23
248,42,24
249,42,25
250,42,26
251,42,27
252,42,28
253,43,1
254,43,2
255,43,3
256,43,4
257,43,5
258,43,6
259,43,7
260,43,8
261,43,9
262,43,10
263,43,11
264,43,12
265,43,13
266,43,14
267,43,15
268,43,16
269,43,17
270,43,18
271,43,19
272,43,20
273,43,21
274,43,22
275,43,23
276,43,24
277,43,25
278,43,26
279,43,27
280,43,28
281,44,1
282,44,2
283,44,3
284,44,4
285,44,5
286,44,6
287,44,7
288,44,8
289,44,9
290,44,10
291,44,11
292,44,12
293,44,13
294,44,14
295,44,15
296,44,16
297,44,17
298,44,18
299,44,19
300,44,20
301,44,21
302,44,22
303,44,23
304,44,24
305,44,25
306,44,26
307,44,27
308,44,28
309,45,1
310,45,2
311,45,3
312,45,4
313,45,5
314,45,6
315,45,7
316,45,8
317,45,9
318,45,10
319,45,11
320,45,12
321,45,13
322,45,14
323,45,15
324,45,16
325,45,17
326,45,18
327,45,19
328,45,20
329,45,21
330,45,22
331,45,23
332,45,24
333,45,25
334,45,26
335,45,27
336,45,28
